,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,otsu_ssd,otsu_eng,gaus_ssd,gaus_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\5\\12.jpg'],10.51,219,,,0,,5391111,,1,1114
0,['.\\sipaimages\\5\\13.jpg'],10.46,219,,,,,['2426.41.717772711741'],,,1.1
0,['.\\sipaimages\\5\\14.jpg'],10.46,219,3,,,,6010111,,,1
0,['.\\sipaimages\\5\\15.jpg'],10.69,219,91,['.'],111,,8554441168171,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,219,1114114,['.'],40114,['.'],141.41114,,['..31'],777711711
0,['.\\sipaimages\\5\\17.jpg'],10.23,219,1,1,11,,2440414.141111331,['..1711..'],,
0,['.\\sipaimages\\5\\18.jpg'],-19.53,219,11,,11,,['117777777101111111410104511'],,,1
0,['.\\sipaimages\\5\\19.jpg'],-18.24,219,1,,47714110041,0.7,['11773377111034111100111197117'],7,,411
0,['.\\sipaimages\\5\\2.jpg'],-7.94,219,11,,11,,,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,219,,,14,,['977777111111211511614919119'],,,11
0,['.\\sipaimages\\5\\21.jpg'],-18.43,219,131,,10111,,['1131111111117010221...4.114711'],53,,
0,['.\\sipaimages\\5\\22.jpg'],-20.07,219,18,,111.41,,['11170401111112251111441001021'],,,11
0,['.\\sipaimages\\5\\23.jpg'],8.3,219,1,,1100004,,11111111111.11117,,['.'],111
0,['.\\sipaimages\\5\\24.jpg'],179.32,219,,,,,777113521,,,
0,['.\\sipaimages\\5\\25.jpg'],179.32,219,,,0,,1701111301755,0,,928010
0,['.\\sipaimages\\5\\26.jpg'],179.26,219,7,,777771.11,,157,,,11
0,['.\\sipaimages\\5\\27.jpg'],179.26,219,18,7,10,,1111110100259,,['.'],11
0,['.\\sipaimages\\5\\3.jpg'],10.63,219,,,99628353,,,,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,219,,,,,1111111111111,,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,219,71,,71,,,,,71
0,['.\\sipaimages\\5\\6.jpg'],10.63,219,3,,44744,,,,,9750071.0
0,['.\\sipaimages\\5\\7.jpg'],9.3,219,1,['.'],11,,['72111.211.11'],,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,219,,,,,,,['..'],1117777.41
0,['.\\sipaimages\\5\\9.jpg'],6.85,219,,,0,,111.7,,,1.7704
0,['.\\sipaimages\\5\\1.jpg'],-7.94,220,198,7,11,,,,,1
0,['.\\sipaimages\\5\\10.jpg'],10.51,220,4400.0,,230114400000.0,9,1.1111773121044175,3362,0.14,['314440000...']
0,['.\\sipaimages\\5\\11.jpg'],10.51,220,1314,,1,,['2355111111170111431113'],47,,1141
0,['.\\sipaimages\\5\\12.jpg'],10.51,220,,,2221130,,6164441711,,1,43510
0,['.\\sipaimages\\5\\13.jpg'],10.46,220,,,,,7378841.77791,1,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,220,8,,,,4741181061111,,,11
0,['.\\sipaimages\\5\\15.jpg'],10.69,220,901,['.'],7710,,4.70119131,15,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,220,141,['.'],411.4,['.'],51.71011081,['.5.'],,1.1
0,['.\\sipaimages\\5\\17.jpg'],10.23,220,1,1,11,,['21111127111113311181144775'],1.0,,10
0,['.\\sipaimages\\5\\18.jpg'],-19.53,220,11,,11,,['1117777342111521111411114102211'],,,1
0,['.\\sipaimages\\5\\19.jpg'],-18.24,220,131,,477414131199611.1,0.4,11111,,,1
0,['.\\sipaimages\\5\\2.jpg'],-7.94,220,17,,11,,,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,220,11,1,17,,18419211,0.5,,11
0,['.\\sipaimages\\5\\21.jpg'],-18.43,220,131,,470100,['.'],4.778110711111161e+36,1071.0,,
0,['.\\sipaimages\\5\\22.jpg'],-20.07,220,7,,81111.41,,1211111001511101,1,,11
0,['.\\sipaimages\\5\\23.jpg'],8.3,220,1,,11,,1011113117.0777112,['..'],,1011.1
0,['.\\sipaimages\\5\\24.jpg'],179.32,220,41,,,,1111751,,,
0,['.\\sipaimages\\5\\25.jpg'],179.32,220,,,0,,172.91101,7,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,220,7,,7777771.11,,110221177175777,71,,1
0,['.\\sipaimages\\5\\27.jpg'],179.26,220,18,,10,,['430111.1.113..'],['.'],,11
0,['.\\sipaimages\\5\\3.jpg'],10.63,220,,,442294227,,,,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,220,,,,,1111111111,7,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,220,71,,211,,,,,71
0,['.\\sipaimages\\5\\6.jpg'],10.63,220,1,,1,,1181,,,
0,['.\\sipaimages\\5\\7.jpg'],9.3,220,1,['.'],11,,1777711111.1111,3,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,220,,,,,,,['.'],0.777741
0,['.\\sipaimages\\5\\9.jpg'],6.85,220,,,600006111,['.....4'],11,,,0.7717704
0,['.\\sipaimages\\5\\1.jpg'],-7.94,221,18,37,1,,,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,221,48,,['3149400000..'],9,1.4477811100001e+26,,0.19,['311444000000...']
0,['.\\sipaimages\\5\\11.jpg'],10.51,221,742200.0,1,111,,80.311151,15,,4414400000000.9
0,['.\\sipaimages\\5\\12.jpg'],10.51,221,,,2,,['644447177147772.71.11781114'],,1,111
0,['.\\sipaimages\\5\\13.jpg'],10.46,221,444.1,,,,,,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,221,3,,,,200413441411,['21..'],,10
0,['.\\sipaimages\\5\\15.jpg'],10.69,221,97,0.1,1,,1181,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,221,1141,,41011411,0.113,10.74271111,,,
0,['.\\sipaimages\\5\\17.jpg'],10.23,221,1,,11,,441.1411033177,33,,
0,['.\\sipaimages\\5\\18.jpg'],-19.53,221,1.3,,11,,['1111177671121140192211'],131,,1
0,['.\\sipaimages\\5\\19.jpg'],-18.24,221,131,,['00744111100.12441.1'],0.4,11,,,
0,['.\\sipaimages\\5\\2.jpg'],-7.94,221,11,,11,,,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,221,11,1,4083011000,12,['773233111180125144970192114'],['..7'],,11
0,['.\\sipaimages\\5\\21.jpg'],-18.43,221,131,,117910214044.11,1.0,11111311141111110911,7.3,,
0,['.\\sipaimages\\5\\22.jpg'],-20.07,221,8,,1111.441,,['11111211114116070104511'],,,11
0,['.\\sipaimages\\5\\23.jpg'],8.3,221,1,,131,,['1011211111.17.1170...1'],,,16111
0,['.\\sipaimages\\5\\24.jpg'],179.32,221,,,,,1.551,['.'],,
0,['.\\sipaimages\\5\\25.jpg'],179.32,221,,,0,,771141703311118375,,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,221,5,,777771.11,,1703611111112177,,,1
0,['.\\sipaimages\\5\\27.jpg'],179.26,221,18,,10,,11110111400001225,1,['.'],11
0,['.\\sipaimages\\5\\3.jpg'],10.63,221,,,92899444,,,,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,221,,,,,1111111117111.11,['..1'],,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,221,71,,71,,11,,,71
0,['.\\sipaimages\\5\\6.jpg'],10.63,221,1,,111739,9,11181,5,,
0,['.\\sipaimages\\5\\7.jpg'],9.3,221,1,,11,,['27577511.1111.141'],,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,221,,,,,,,,133300
0,['.\\sipaimages\\5\\9.jpg'],6.85,221,,,,,11,,,41
0,['.\\sipaimages\\5\\1.jpg'],-7.94,222,9,8,11,,,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,222,24,,2319400000000000.0,,1.1111114156780017e+32,['323.....44.'],['..1'],['31158000000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,222,6419420000.0,,71494,,2008,8,2.0,['317100..']
0,['.\\sipaimages\\5\\12.jpg'],10.51,222,,,7,,42375470001711134,,1,100011111
0,['.\\sipaimages\\5\\13.jpg'],10.46,222,,,,,70.7174711,0,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,222,3,,,,2387111811,,,
0,['.\\sipaimages\\5\\15.jpg'],10.69,222,910,,11,,1004171147111,11.0,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,222,114,['.'],11,['.'],632114,,,
0,['.\\sipaimages\\5\\17.jpg'],10.23,222,1,1,11,,441111711116.311,1.0,,
0,['.\\sipaimages\\5\\18.jpg'],-19.53,222,1.3,,11,,13.111131,1,,1
0,['.\\sipaimages\\5\\19.jpg'],-18.24,222,131,,['4.7186100.71411.1'],15.4,['7113.1111491111162104110414.11717'],17,,144781
0,['.\\sipaimages\\5\\2.jpg'],-7.94,222,11,,11,,,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,222,11,,['164.1.7211'],0.3,['235711111081007650715144701971161111'],8.0,,11
0,['.\\sipaimages\\5\\21.jpg'],-18.43,222,131,,11749100101410011,,,,,1
0,['.\\sipaimages\\5\\22.jpg'],-20.07,222,7,,1111.41,['...'],5571101811141411015,4.0,,11
0,['.\\sipaimages\\5\\23.jpg'],8.3,222,1,,['10..1'],['.'],['1111.11111111.111.11867198111'],311,,['10000...1']
0,['.\\sipaimages\\5\\24.jpg'],179.32,222,,,,,31,,,
0,['.\\sipaimages\\5\\25.jpg'],179.32,222,,,0,,411111110174,7175,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,222,775,,77771.11,,11141,55711,,11
0,['.\\sipaimages\\5\\27.jpg'],179.26,222,18,,10,,1111.1000002391,,,11
0,['.\\sipaimages\\5\\3.jpg'],10.63,222,,,0.11,,11111111,,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,222,,,,,11111711411,1.0,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,222,981,4,71,,1,['.'],,71
0,['.\\sipaimages\\5\\6.jpg'],10.63,222,1,,11117,['.'],1113211,['.'],,4777717
0,['.\\sipaimages\\5\\7.jpg'],9.3,222,71,1,11,5,,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,222,,,,,,,,130
0,['.\\sipaimages\\5\\9.jpg'],6.85,222,,,474,,1,,,1771770004
0,['.\\sipaimages\\5\\1.jpg'],-7.94,223,9,8,1,,,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,223,2041,,2314440000.0,,1.797718535552117e+32,3,['.'],['914114080000000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,223,8499,,711,,221071111189111,4,4,['21914000..']
0,['.\\sipaimages\\5\\12.jpg'],10.51,223,,,1,,111,,1,114
0,['.\\sipaimages\\5\\13.jpg'],10.46,223,1,,,,32472741,3.0,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,223,3,,1,,10775741141911,['.'],,
0,['.\\sipaimages\\5\\15.jpg'],10.69,223,91,0.1,14,,544167,15,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,223,1141.1,['.'],1191,['.'],317188,,,
0,['.\\sipaimages\\5\\17.jpg'],10.23,223,1,1,11,,['30111111711711113311141'],3,,7
0,['.\\sipaimages\\5\\18.jpg'],-19.53,223,1.3,,11,,['1511111811111000110511'],3,,1
0,['.\\sipaimages\\5\\19.jpg'],-18.24,223,31,,['4771911744.1441.1'],4,['17114111716114170180119000101'],['.'],,11060
0,['.\\sipaimages\\5\\2.jpg'],-7.94,223,11,,11,,,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,223,,,['81116170.1.11'],,['77777771441115141407192115'],,,11
0,['.\\sipaimages\\5\\21.jpg'],-18.43,223,31,,1174100211411,,['17777771182111.190311111811110211227179000184.011'],,,
0,['.\\sipaimages\\5\\22.jpg'],-20.07,223,7,,11002230141111.41,['...'],,,,11
0,['.\\sipaimages\\5\\23.jpg'],8.3,223,1,,601,,17111111111776611601,['..'],,100000001
0,['.\\sipaimages\\5\\24.jpg'],179.32,223,,,,,1787111917,,,
0,['.\\sipaimages\\5\\25.jpg'],179.32,223,,,0,,11111314,,,10
0,['.\\sipaimages\\5\\26.jpg'],179.26,223,,,77777771.11,,['16.9.9111111017171177'],1,,11
0,['.\\sipaimages\\5\\27.jpg'],179.26,223,178,7,10,,111111141,17197.0,['.'],11
0,['.\\sipaimages\\5\\3.jpg'],10.63,223,,,79044314,,,,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,223,,,,,111151441.511,['.'],,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,223,71,,71,,33000337711,4,,71
0,['.\\sipaimages\\5\\6.jpg'],10.63,223,1,,4147,9,,,9,11177
0,['.\\sipaimages\\5\\7.jpg'],9.3,223,1,,11,,['177711.71111.111'],['.'],,
0,['.\\sipaimages\\5\\8.jpg'],9.3,223,,,,,,,,101
0,['.\\sipaimages\\5\\9.jpg'],6.85,223,,,34,,11,,,4
0,['.\\sipaimages\\5\\1.jpg'],-7.94,224,9,8,1,,,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,224,['049000..'],,319400000.0,,441111111.317,,['.'],['91744900000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,224,652219655.1409,,704,,['6647.7335533255110.111.244'],45,['.'],['3.131140.1']
0,['.\\sipaimages\\5\\12.jpg'],10.51,224,,,7,,111111101181,['1..'],1,7114
0,['.\\sipaimages\\5\\13.jpg'],10.46,224,104,,,,3111.774777711101,1,,101
0,['.\\sipaimages\\5\\14.jpg'],10.46,224,8,,1,,['211034111177461114191111'],,,
0,['.\\sipaimages\\5\\15.jpg'],10.69,224,910,['.'],114,,['100.778113.11'],12,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,224,84,['.'],40001114111141,['.'],4749114,,,1.1
0,['.\\sipaimages\\5\\17.jpg'],10.23,224,1,,11,,11113311181,73,,10
0,['.\\sipaimages\\5\\18.jpg'],-19.53,224,1.3,7,11,,['1849111291113411111419719101'],12,,131.111
0,['.\\sipaimages\\5\\19.jpg'],-18.24,224,31,,['477111414972.1711.1'],4,10911100681,0,,11
0,['.\\sipaimages\\5\\2.jpg'],-7.94,224,17,,11,,,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,224,11,1,17,,['11277777771111111651614111070191111111'],2,,11
0,['.\\sipaimages\\5\\21.jpg'],-18.43,224,131,,714.01,['.'],73.1111108114,1,,1
0,['.\\sipaimages\\5\\22.jpg'],-20.07,224,7,,100010114111004191,,11,,,11
0,['.\\sipaimages\\5\\23.jpg'],8.3,224,1,,1100001,['.'],111441111211.7774,51,,12211.1
0,['.\\sipaimages\\5\\24.jpg'],179.32,224,,,,,111111777,5,,
0,['.\\sipaimages\\5\\25.jpg'],179.32,224,,,0,,10101102174,7,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,224,,,3311.11,,121175,,,11
0,['.\\sipaimages\\5\\27.jpg'],179.26,224,18,7,10,,111.10102259,300,['.'],11
0,['.\\sipaimages\\5\\3.jpg'],10.63,224,,,1,,11.1,,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,224,,,,,111171110,5.0,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,224,31,,211,,111211011125777,1,,71
0,['.\\sipaimages\\5\\6.jpg'],10.63,224,3,,1111104,9,77118141,,['....'],7611
0,['.\\sipaimages\\5\\7.jpg'],9.3,224,71,1,11,,611.11,5,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,224,,,,,,,,151
0,['.\\sipaimages\\5\\9.jpg'],6.85,224,,,,,0,,,41
0,['.\\sipaimages\\5\\1.jpg'],-7.94,225,18,7,11,,,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,225,44,,['2311440000000..'],,['440851155034111777777771111119114.111.2291'],4.0,['.'],['90141440000000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,225,411.411,,741,,1151,,['.'],630511
0,['.\\sipaimages\\5\\12.jpg'],10.51,225,,,7,,4001.714114411001,,,
0,['.\\sipaimages\\5\\13.jpg'],10.46,225,18084,,,,['64512074084441774180111'],10,,1.1
0,['.\\sipaimages\\5\\14.jpg'],10.46,225,3,,1,,166400111011141411,,,
0,['.\\sipaimages\\5\\15.jpg'],10.69,225,901,['.'],11,,10101181,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,225,4011410071,0.1,11.41,['.'],85491011,1,,1.1
0,['.\\sipaimages\\5\\17.jpg'],10.23,225,1,,11,,['44.11.74000011146377'],,,
0,['.\\sipaimages\\5\\18.jpg'],-19.53,225,1.3,,11,,101671,,['.'],1
0,['.\\sipaimages\\5\\19.jpg'],-18.24,225,31,,1111700.004911,14,['1171111110411535311201132911634419117'],155,,1
0,['.\\sipaimages\\5\\2.jpg'],-7.94,225,11,,11,,,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,225,11,1,117181618819711,['.'],['111171731119011101591117'],31.0,,
0,['.\\sipaimages\\5\\21.jpg'],-18.43,225,1,,11744191404.01,,['477800173174711111114131001191015010111'],['1175..1'],,1
0,['.\\sipaimages\\5\\22.jpg'],-20.07,225,18,,1000.0000711110112,['..1...00'],7722232551777771.0,['7..'],,11
0,['.\\sipaimages\\5\\23.jpg'],8.3,225,1,,131,,['114.1111.1114811101110231106001'],['.'],,116111
0,['.\\sipaimages\\5\\24.jpg'],179.32,225,,,,,1,,,
0,['.\\sipaimages\\5\\25.jpg'],179.32,225,,,0,,771102111104,471,,10
0,['.\\sipaimages\\5\\26.jpg'],179.26,225,,,777771.11,['.'],117111001,,,11
0,['.\\sipaimages\\5\\27.jpg'],179.26,225,178,,10,,1114010291,,,11
0,['.\\sipaimages\\5\\3.jpg'],10.63,225,,,49704946,,,,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,225,,,,,['1101111113511.7.611'],1054,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,225,981,,211,,,,,71
0,['.\\sipaimages\\5\\6.jpg'],10.63,225,1,,11,,,,,
0,['.\\sipaimages\\5\\7.jpg'],9.3,225,1,,11,,1,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,225,,,,,,,,191177740
0,['.\\sipaimages\\5\\9.jpg'],6.85,225,,,84786454424414,,11,,,8.7711117
0,['.\\sipaimages\\5\\1.jpg'],-7.94,226,18,7,11,,,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,226,41,,['311940..'],,['113155561100040411114011111171111114'],,0.9,915440000.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,226,139220000.0,,71,,341111051119.0,,,['3114000..']
0,['.\\sipaimages\\5\\12.jpg'],10.51,226,,,7,,23.11473271118111,1,,7
0,['.\\sipaimages\\5\\13.jpg'],10.46,226,,,,,4411177711101,['.'],,
0,['.\\sipaimages\\5\\14.jpg'],10.46,226,3,,1,,0.107040111191,,,11
0,['.\\sipaimages\\5\\15.jpg'],10.69,226,910,['.'],194,,10134414.121111,11,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,226,14139,,2110121511111,['.'],181151411014,,,1.1
0,['.\\sipaimages\\5\\17.jpg'],10.23,226,,,11,,['284111055554111113311118111'],3,,
0,['.\\sipaimages\\5\\18.jpg'],-19.53,226,1.3,,11,,18777755714911,,,1
0,['.\\sipaimages\\5\\19.jpg'],-18.24,226,31,,1101194011002.0,['.'],311,,,
0,['.\\sipaimages\\5\\2.jpg'],-7.94,226,17,,11,,,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,226,11,1,12710111,['.'],['711118111116644901022115'],12577,,11
0,['.\\sipaimages\\5\\21.jpg'],-18.43,226,1,,1191051481101001880,['.'],['211797213110811123011910115121111'],777713.0,,1
0,['.\\sipaimages\\5\\22.jpg'],-20.07,226,13,7,10031701111.141,['.'],881101,,,11
0,['.\\sipaimages\\5\\23.jpg'],8.3,226,1,,1,,['118411411111001111711'],['..'],,1000001
0,['.\\sipaimages\\5\\24.jpg'],179.32,226,,,,,11113100.1177,['...'],,
0,['.\\sipaimages\\5\\25.jpg'],179.32,226,,,1,,17573,,,11
0,['.\\sipaimages\\5\\26.jpg'],179.26,226,,,77777771.11,,231224,,,11
0,['.\\sipaimages\\5\\27.jpg'],179.26,226,18,,11,,1111111000259,,,1
0,['.\\sipaimages\\5\\3.jpg'],10.63,226,,,90788261,,,,,70
0,['.\\sipaimages\\5\\4.jpg'],10.63,226,,,0,,11111115701111101,,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,226,71,,71,,100051378181,,,71
0,['.\\sipaimages\\5\\6.jpg'],10.63,226,38,,11,,531011371,,,118411
0,['.\\sipaimages\\5\\7.jpg'],9.3,226,1,,11,,72711.411711,15,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,226,,,,,,,,119777.41
0,['.\\sipaimages\\5\\9.jpg'],6.85,226,,,124,,11,,,331
0,['.\\sipaimages\\5\\1.jpg'],-7.94,227,18,7,1,,4417114401000,['.'],,
0,['.\\sipaimages\\5\\10.jpg'],10.51,227,40555.0,,['231194000000..'],,4.711110041111051e+20,1.0,['.'],['31540000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,227,41422.0,['.'],21,,['13177711.9.1'],,0.9,['31131400000000..']
0,['.\\sipaimages\\5\\12.jpg'],10.51,227,,,10480011,,81,,,7
0,['.\\sipaimages\\5\\13.jpg'],10.46,227,,,5,,184117743.112111,0,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,227,8,,311114,['.'],47177777777711.1,,0,111
0,['.\\sipaimages\\5\\15.jpg'],10.69,227,911,['.'],114,,11911060119.1,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,227,4011419,['..'],['101.1.411'],['.'],2402171,['..'],,
0,['.\\sipaimages\\5\\17.jpg'],10.23,227,,,11,,221411171111163151,175,,
0,['.\\sipaimages\\5\\18.jpg'],-19.53,227,1.3,,11,,11.57777,['...'],['.'],1111
0,['.\\sipaimages\\5\\19.jpg'],-18.24,227,31,,1100801100.1014,,1214,,,
0,['.\\sipaimages\\5\\2.jpg'],-7.94,227,17,,11,,1175,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,227,11,1,11101,['.'],['11118221111311611491922115'],,,11
0,['.\\sipaimages\\5\\21.jpg'],-18.43,227,1,,11471214.141,1,711.1011114911,,,1
0,['.\\sipaimages\\5\\22.jpg'],-20.07,227,13,7,['4.77218111.40108'],1,,,,11
0,['.\\sipaimages\\5\\23.jpg'],8.3,227,1,,100.1,['.'],11.111111111114177,,,1011.1
0,['.\\sipaimages\\5\\24.jpg'],179.32,227,,,,,7772724,,,
0,['.\\sipaimages\\5\\25.jpg'],179.32,227,,,1,,1171117013111131731,1,3,8
0,['.\\sipaimages\\5\\26.jpg'],179.26,227,,,777771.11,,711081175,,,11
0,['.\\sipaimages\\5\\27.jpg'],179.26,227,18,7,10,,713111.16803,,['.'],11
0,['.\\sipaimages\\5\\3.jpg'],10.63,227,,,484461,,,,,11
0,['.\\sipaimages\\5\\4.jpg'],10.63,227,,,,,141711,,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,227,71,,71,,176253184,5,,71
0,['.\\sipaimages\\5\\6.jpg'],10.63,227,1,,1,,2111,,,
0,['.\\sipaimages\\5\\7.jpg'],9.3,227,1,,11,,,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,227,,,,,,,['..'],10411777.7411
0,['.\\sipaimages\\5\\9.jpg'],6.85,227,,,46940000054,['.'],,,,0
0,['.\\sipaimages\\5\\1.jpg'],-7.94,228,18,37,1,,,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,228,778,,['7419400000..'],,['06011000071111161911811117'],,0.9,['91549000000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,228,['413114000..'],4,77111,,['001101777777777111118154'],['11.1.'],,174100.1
0,['.\\sipaimages\\5\\12.jpg'],10.51,228,,,100000,,221047301211100181,0.0,,4911011
0,['.\\sipaimages\\5\\13.jpg'],10.46,228,1404.1,,5,,['04.71749.1'],0.7,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,228,8,,1,,13440111,['.'],,
0,['.\\sipaimages\\5\\15.jpg'],10.69,228,47,['.'],1,,0.17,,,8
0,['.\\sipaimages\\5\\16.jpg'],10.14,228,4041.411,['.'],410001151,['.'],414147,,,
0,['.\\sipaimages\\5\\17.jpg'],10.23,228,,,11,,['17411111113311146311409'],['.'],,1.1
0,['.\\sipaimages\\5\\18.jpg'],-19.53,228,1.3,,11,,11.711179711111415,,,1
0,['.\\sipaimages\\5\\19.jpg'],-18.24,228,131,,['4.7441008010.1127'],,['11164191665414919170411971117'],['...7'],,14103
0,['.\\sipaimages\\5\\2.jpg'],-7.94,228,11,,11,,11,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,228,11,1,['46.1.03110862.3'],['.'],['711211331111112611108655222311211491915'],3.0,,11
0,['.\\sipaimages\\5\\21.jpg'],-18.43,228,31,,11741901851,,['477211278431111000110921714.27.1171'],,,1
0,['.\\sipaimages\\5\\22.jpg'],-20.07,228,13,7,1000.2000714111114,['.'],1104,['.'],,11
0,['.\\sipaimages\\5\\23.jpg'],8.3,228,1,,1000.04,,['11111111614111111024621114111911'],3,,116111
0,['.\\sipaimages\\5\\24.jpg'],179.32,228,,,,,1111141174177777,,,
0,['.\\sipaimages\\5\\25.jpg'],179.32,228,,,0,,['10811016117071021111804'],0,,10
0,['.\\sipaimages\\5\\26.jpg'],179.26,228,,,777771.11,,1131,,,1
0,['.\\sipaimages\\5\\27.jpg'],179.26,228,18,,,,11411.4103,,,11
0,['.\\sipaimages\\5\\3.jpg'],10.63,228,,,70445,,,,,11
0,['.\\sipaimages\\5\\4.jpg'],10.63,228,,,,,['1111..111111411'],1305,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,228,71,,211,,11241,,,71
0,['.\\sipaimages\\5\\6.jpg'],10.63,228,1,,41400,,181,,['.'],17
0,['.\\sipaimages\\5\\7.jpg'],9.3,228,1,['.'],11,,11,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,228,,,,,,,,11777411
0,['.\\sipaimages\\5\\9.jpg'],6.85,228,,,9448710011,,11,,,30000
0,['.\\sipaimages\\5\\1.jpg'],-7.94,229,9,8,1,,,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,229,4555550,,['2331194000000..'],,3.910011144778608e+37,['43....'],['.'],9114402.741
0,['.\\sipaimages\\5\\11.jpg'],10.51,229,41328,,7711.1,,['2041408341757721111777377110149'],1151,,14
0,['.\\sipaimages\\5\\12.jpg'],10.51,229,,,410801,,['4501144474473411110116111527'],['.'],,49111011
0,['.\\sipaimages\\5\\13.jpg'],10.46,229,,,,,4011.776711116111,['.'],,
0,['.\\sipaimages\\5\\14.jpg'],10.46,229,8,,1,,40507718111111911,,,111
0,['.\\sipaimages\\5\\15.jpg'],10.69,229,910,['.'],['040111111110000..'],1,191,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,229,1411,['.'],114111111,['.'],25140100,50,,
0,['.\\sipaimages\\5\\17.jpg'],10.23,229,,,11,,1.2111117319817777,1.0,,1
0,['.\\sipaimages\\5\\18.jpg'],-19.53,229,1.3,,101,,['122111011111333111084110910511'],['.75.71'],,1
0,['.\\sipaimages\\5\\19.jpg'],-18.24,229,31,,47714000003111,1,117149016,7,,14411
0,['.\\sipaimages\\5\\2.jpg'],-7.94,229,11,,11,,,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,229,11,1,6.13,,['777777717411113311111221100119115'],1,,11
0,['.\\sipaimages\\5\\21.jpg'],-18.43,229,31,,['117410127114419047111'],,['47786111811131111111041116501511101174.0125..11711'],0.175,,1
0,['.\\sipaimages\\5\\22.jpg'],-20.07,229,13,7,1479711.41,,,,,11
