image_file,closing_ssd_equal_count,closing_ssd_not_equal_count,closing_eng_equal_count,closing_eng_not_equal_count,mro_ssd_equal_count,mro_ssd_not_equal_count,mro_eng_equal_count,mro_eng_not_equal_count
./sipaimages/2/22435_20220324134938.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/22436_20220324135243.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/22437_20220324135318.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/22438_20220324141106.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/22439_20220324143048.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/22440_20220324143411.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/22440_20220324143427.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/22441_20220325120457.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/23029_20220326160130.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/23030_20220326160243.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/23031_20220328101115.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/23033_20220328104942.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/23034_20220326161215.jpg,0,700,0,700,1,699,0,700
./sipaimages/2/23035_20220328101208.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/23038_20220326183516.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/23039_20220326173036.jpg,0,700,0,700,215,485,0,700
./sipaimages/2/23042_20220326183850.jpg,0,700,0,700,183,517,69,631
./sipaimages/2/23043_20220328141901.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/23046_20220326184551.jpg,0,700,0,700,57,643,211,489
./sipaimages/2/23050_20220326184912.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/27179_20220413145802.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/27207_20220413151034.jpg,0,700,0,700,29,671,0,700
./sipaimages/2/27271_20220414092232.jpg,0,700,0,700,585,115,188,512
./sipaimages/2/27273_20220414104049.jpg,0,700,0,700,47,653,25,675
./sipaimages/2/3.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/4.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42325_20220504102743.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42325_20220504102856.jpg,0,700,0,700,1,699,0,700
./sipaimages/2/42327_20220504103528.jpg,0,700,0,700,64,636,0,700
./sipaimages/2/42333_20220504100651.jpg,0,700,0,700,2,698,0,700
./sipaimages/2/42351_20220504111327.jpg,0,700,0,700,80,620,0,700
./sipaimages/2/42533_20220505081840.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42535_20220504111619.jpg,0,700,0,700,6,694,0,700
